,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat
4582,2003-07-19,0.6327368921394186,0.6327368921394186,0.6327368921394186,0.7669797464223376,1.0019997287422338,0.2515309988058135,0.2515309988058135,0.2515309988058135,0.2515309988058135,0.2515309988058135,0.2515309988058135,0.003341029007849228,0.003341029007849228,0.003341029007849228,0.24818996979796426,0.24818996979796426,0.24818996979796426,0.8842678909452322
4583,2003-07-20,0.6327283463048248,0.6327283463048248,0.6327283463048248,0.7551532212615635,0.9926320214354191,0.2486183012142661,0.2486183012142661,0.2486183012142661,0.2486183012142661,0.2486183012142661,0.2486183012142661,0.0026130020262555304,0.0026130020262555304,0.0026130020262555304,0.24600529918801056,0.24600529918801056,0.24600529918801056,0.8813466475190909
4584,2003-07-21,0.6327198004702308,0.6327198004702308,0.6327198004702308,0.7570986788326796,0.9934917331660933,0.24001301442213765,0.24001301442213765,0.24001301442213765,0.24001301442213765,0.24001301442213765,0.24001301442213765,-0.0038773490214035226,-0.0038773490214035226,-0.0038773490214035226,0.2438903634435412,0.2438903634435412,0.2438903634435412,0.8727328148923684
4585,2003-07-22,0.6327112546356369,0.6327112546356369,0.6327112546356369,0.7667145947892716,0.9867890119335876,0.23944310040861402,0.23944310040861402,0.23944310040861402,0.23944310040861402,0.23944310040861402,0.23944310040861402,-0.0023931868902757375,-0.0023931868902757375,-0.0023931868902757375,0.24183628729888978,0.24183628729888978,0.24183628729888978,0.872154355044251
4586,2003-07-23,0.632702708801043,0.632702708801043,0.632702708801043,0.7464695910348194,0.99282389533817,0.240837224690185,0.240837224690185,0.240837224690185,0.240837224690185,0.240837224690185,0.240837224690185,0.0010038313702712923,0.0010038313702712923,0.0010038313702712923,0.23983339331991368,0.23983339331991368,0.23983339331991368,0.8735399334912279
4587,2003-07-24,0.6326941629664491,0.6326941629664491,0.6326941629664491,0.7553783697314171,0.9888813671839334,0.23800448385538855,0.23800448385538855,0.23800448385538855,0.23800448385538855,0.23800448385538855,0.23800448385538855,0.00013300731035786488,0.00013300731035786488,0.00013300731035786488,0.23787147654503066,0.23787147654503066,0.23787147654503066,0.8706986468218376
4588,2003-07-25,0.6326856171318551,0.6326856171318551,0.6326856171318551,0.7428088836119104,0.983974642472735,0.23511973086612944,0.23511973086612944,0.23511973086612944,0.23511973086612944,0.23511973086612944,0.23511973086612944,-0.0008203338030517031,-0.0008203338030517031,-0.0008203338030517031,0.23594006466918116,0.23594006466918116,0.23594006466918116,0.8678053479979846
4589,2003-07-26,0.6326770712972611,0.6326770712972611,0.6326770712972611,0.7488506084149634,0.990436757587669,0.23736968660218577,0.23736968660218577,0.23736968660218577,0.23736968660218577,0.23736968660218577,0.23736968660218577,0.003341029007844374,0.003341029007844374,0.003341029007844374,0.2340286575943414,0.2340286575943414,0.2340286575943414,0.8700467578994469
4590,2003-07-27,0.6326685254626673,0.6326685254626674,0.6326685254626674,0.7419958825431932,0.9842696344437682,0.23473994318574679,0.23473994318574679,0.23473994318574679,0.23473994318574679,0.23473994318574679,0.23473994318574679,0.0026130020262607476,0.0026130020262607476,0.0026130020262607476,0.232126941159486,0.232126941159486,0.232126941159486,0.867408468648414
4591,2003-07-28,0.6326599796280733,0.6326599796280733,0.6326599796280733,0.7452378444241795,0.9706354265486724,0.2263476219555325,0.2263476219555325,0.2263476219555325,0.2263476219555325,0.2263476219555325,0.2263476219555325,-0.003877349021405416,-0.003877349021405416,-0.003877349021405416,0.23022497097693792,0.23022497097693792,0.23022497097693792,0.8590076015836058
4592,2003-07-29,0.6326514337934794,0.6326514337934794,0.6326514337934794,0.7407381678745307,0.9811776381274672,0.2259201366122757,0.2259201366122757,0.2259201366122757,0.2259201366122757,0.2259201366122757,0.2259201366122757,-0.00239318689028162,-0.00239318689028162,-0.00239318689028162,0.2283133235025573,0.2283133235025573,0.2283133235025573,0.8585715704057552
4593,2003-07-30,0.6326428879588855,0.6326428879588855,0.6326428879588855,0.7455101998481016,0.9683440952283776,0.22738704408420546,0.22738704408420546,0.22738704408420546,0.22738704408420546,0.22738704408420546,0.22738704408420546,0.001003831370271563,0.001003831370271563,0.001003831370271563,0.2263832127139339,0.2263832127139339,0.2263832127139339,0.8600299320430909
4594,2003-07-31,0.6326343421242916,0.6326343421242916,0.6326343421242916,0.7345675693101843,0.9764578930811717,0.22455957933246573,0.22455957933246573,0.22455957933246573,0.22455957933246573,0.22455957933246573,0.22455957933246573,0.00013300731035515822,0.00013300731035515822,0.00013300731035515822,0.22442657202211055,0.22442657202211055,0.22442657202211055,0.8571939214567573
4595,2003-08-01,0.6326257962896976,0.6326257962896976,0.6326257962896976,0.7299413729293605,0.9659111240998259,0.22161576845425485,0.22161576845425485,0.22161576845425485,0.22161576845425485,0.22161576845425485,0.22161576845425485,-0.0008203338030545943,-0.0008203338030545943,-0.0008203338030545943,0.22243610225730945,0.22243610225730945,0.22243610225730945,0.8542415647439525
4596,2003-08-02,0.6326172504551038,0.6326172504551038,0.6326172504551038,0.7416186900335663,0.9812681165696314,0.22374631671714953,0.22374631671714953,0.22374631671714953,0.22374631671714953,0.22374631671714953,0.22374631671714953,0.0033410290078461666,0.0033410290078461666,0.0033410290078461666,0.22040528770930334,0.22040528770930334,0.22040528770930334,0.8563635671722533
