PUBID8   ,REGION8  ,CENDIV8  ,SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,ADJWT8   ,STRATUM8 ,PAIR8    ,HDD658   ,CDD658   ,MFUSED8  ,MFBTU8   ,MFEXP8   ,ELCNS8   ,ELBTU8   ,ELEXP8   ,ZELCNS8  ,ZELEXP8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
3025,1,1,12000,4,4,1,1,2,2,2,2,2,3772.16,1,1,8918,348,1,11768,439,3449,11768,439,0,1
3026,1,2,138000,7,4,13,1,2,2,2,1,1,87.26,8,2,4911,1435,1,28743466,418198,2589820,8836466,184098,1,1
3027,3,5,16750,4,4,23,1,1,2, ,2,2,377.5,26,2,1605,2851,1,1380201,28626,398289,1358962,28473,1,1
3028,2,4,12500,4,7,2,1,2,2,2,2,2,776.54,17,1,6835,750,1,578457,11698,169536,578457,11698,0,0
3029,3,7,8000,3,5,14,1,1,2,2,2,2,2544.74,49,1,1098,3545,1,131986,3776,34513,117758,3516,1,1
3031,2,4,2900,2,2,2,1,1,2,2,2,2,776.54,18,1,8251,712,1,145541,1604,2860,9758,313,0,0
3032,2,3,98000,6,3,5,1,1,2,2,1,2,94.77,12,2,5737,609,1,2093933,21795,225618,769809,12815,0,0
3033,4,8,45500,5,8,2,1,2,2,2,2,2,240.9,46,1,2022,3578,1,3051577,85219,894366,3051577,85219,0,0
3034,3,5,800000,9,4,2,1,1,2,2,1,2,5.49,22,2,4137,1554,1,183794162,1030852,9044179,30858739,615189,0,0
3035,4,8,62000,6,2,18,1,2,2,2,2,2,124.93,37,2,5032,595,1,1205565,22611,353331,1205565,22611,0,0
3037,4,8,24500,4,4,26,1,1,2,2,2,2,360.63,37,1,6943,435,1,3733157,40121,104402,356220,23444,0,0
3038,3,7,1650,2,6,2,1,1,2,2,2,2,1702.02,34,1,809,4387,1,203890,5718,56463,192652,5482,1,1
3040,3,5,1500,2,6,13,1,1,2,2,2,2,734.43,25,1,1993,1830,1,332802,7748,88383,301563,7248,0,0
3041,1,1,85000,6,7,17,1,1,2,2,2,2,165.84,3,2,6300,672,1,12961586,126940,1155360,3942088,72788,0,0
3042,3,7,7000,3,6,13,1,1,2,2,2,2,228.05,57,1,1821,3240,1,796293,8064,185305,632261,7042,0,0
3044,4,9,38000,5,3,14,1,1,2,2,2,2,456.4,43,1,5221,1012,1,2713562,31764,353015,1204487,20610,0,0
3045,1,2,700000,9,3,2,1,2,2,2,1,2,28.44,82,1,5230,977,1,53373589,810895,5783291,19732589,415283,0,0
3046,4,9,180000,7,7,18,1,1,2,2,2,2,135.43,47,2,1569,779,1,5389252,112520,798393,2724117,92869,0,0
3047,4,9,100000,6,6,23,1,2,2, ,2,2,88.09,62,2,1366,621,1,5784022,210531,1695200,5784022,210531,1,1
3049,3,7,8300,3,7,5,1,2,2,2,2,2,3464.95,32,1,3089,1699,1,55745,1287,16338,55745,1287,1,1
3050,4,9,475000,8,4,16,1,1,1,2,2,2,11.26,42,2,2418,247,1,76613946,1360913,6909029,23573607,1029099,0,0
3051,4,8,4800,2,5,2,1,1,2,2,2,2,2739.65,38,2,5149,1036,1,233657,3135,34215,116742,2361,0,0
3052,4,9,33000,5,4,12,1,1,2,2,2,2,126.49,62,2,934,1323,1,564537,20742,115689,394731,19143,0,0
3053,3,7,15000,4,5,5,1,2,2,2,2,2,807.37,49,2,1071,2968,1,232384,6510,68108,232384,6510,1,1
3055,4,9,10000,3,3,14,1,1,2,2,1,2,242.54,62,2,1015,1962,1,1668046,31158,108119,368902,16403,1,1
3057,2,3,53000,6,6,23,1,2,2, ,2,2,220.48,12,1,7210,714,1,4757502,75211,1394344,4757502,75211,0,0
3058,2,3,10000,3,5,5,1,1,2,2,2,2,864.37,12,2,7032,671,1,813788,9469,44062,150340,3803,0,0
3059,3,5,10000,3,5,8,1,2,2,2,2,2,807.37,52,1,170,4278,1,630251,15178,184716,630251,15178,1,1
3060,2,4,106000,7,7,5,1,2,2,2,2,2,111.77,19,1,4142,1430,1,2449086,42562,717786,2449086,42562,1,1
3061,2,3,34000,5,2,17,1,1,2,1,2,2,352.05,13,1,5027,753,1,4265462,54644,502479,1714458,34542,1,1
3062,1,2,130000,7,8,14,1,1,1,2,2,2,137.78,5,1,4661,1154,1,30168465,583402,7627164,26023884,550880,0,0
3063,2,3,3050,2,2,2,1,1,2,2,2,2,2141.61,13,1,5301,820,1,498949,4469,18930,64589,1657,1,0
3064,3,7,2750,2,6,14,1,2,2,2,2,2,2544.74,57,1,1834,3057,1,306824,2783,89925,306824,2783,0,0
3065,1,2,25000,4,6,18,1,1,2,2,2,2,456.4,10,1,5751,779,1,1782171,34510,282886,965207,26634,0,0
3066,3,7,1200,2,2,1,1,2,2,2,2,2,3503.79,49,2,1123,2814,1,1696,101,497,1696,101,1,1
3067,2,4,9800,3,3,13,1,2,2,1,2,2,2447.55,17,1,8376,692,1,68240,2000,20000,68240,2000,0,0
3068,4,8,25000,4,8,23,1,1,2, ,2,2,87.5,65,2,827,4506,1,3454668,69150,795004,2712554,61877,0,0
3069,3,5,68000,6,6,23,1,2,2, ,2,2,734.43,22,1,3656,1356,1,9146470,169227,2680677,9146470,169227,0,0
3070,1,2,13000,4,6,2,1,2,1,2,2,2,869.22,8,1,6093,749,1,2203029,43741,639602,2182322,43541,0,0
3071,1,2,12750,4,8,2,1,1,1,2,2,2,802.59,5,2,7960,360,1,1539121,26029,170800,582770,16528,0,0
3074,4,9,15250,4,7,12,1,1,2,2,2,2,444.58,47,1,1935,402,1,165614,10046,38144,130147,9661,0,0
3075,2,3,1600,2,4,25,1,1,2,2,2,2,2724.37,11,1,7174,562,1,352254,7097,66919,228328,5926,0,0
3076,4,9,23250,4,7,23,1,2,2, ,2,2,607.91,44,1,0,4283,1,1330192,88193,389857,1330192,88193,0,0
3078,3,7,20500,4,8,5,1,2,1,2,2,2,364.2,35,1,528,4863,1,889907,23273,260004,887134,23233,1,1
3079,4,8,15000,4,8,2,1,1,2,2,2,2,365.45,37,1,6602,709,1,1873388,17558,127382,434627,7080,0,0
3080,1,2,12500,4,1,1,1,2,1,2,2,2,869.22,9,1,5282,825,1,981011,8102,19243,65657,2749,0,0
3081,1,1,23000,4,5,23,1,2,2, ,2,2,869.22,3,1,5835,801,1,1393816,52755,408504,1393816,52755,1,1
3083,3,5,9200,3,5,13,1,1,2,2,2,2,807.37,26,2,1445,2740,1,261846,9713,69672,237721,9406,0,0
3084,4,8,30500,5,4,13,1,1,2,2,2,2,140.65,39,2,4631,1182,1,3913428,71566,642580,2192483,59447,1,1
3085,4,8,12500,4,4,25,1,1,2,2,2,2,781.6,38,1,4670,964,1,1427089,23280,268501,916125,20180,1,1
3086,3,5,30000,5,5,2,1,1,2,2,2,2,331.3,24,1,3248,1461,1,1734621,26452,363740,1241081,21430,0,0
3088,2,3,8900,3,5,12,1,1,2,2,2,2,2724.37,13,2,6652,560,1,355913,5674,39104,133423,3588,1,1
3089,3,5,210000,8,3,14,1,1,2,2,1,2,13.64,23,1,4730,1228,1,46688579,661117,5000000,17060000,312563,0,1
3090,1,2,315000,8,3,2,1,1,2,2,1,1,82.18,8,1,6139,803,1,29042597,541324,4660420,15901353,276535,0,0
3091,3,5,230000,8,4,23,1,1,2, ,2,2,69.29,27,1,401,3716,1,33316661,844246,8588846,29305143,810097,0,0
3092,2,3,12500,4,1,5,1,1,2,1,2,2,679.47,13,1,6855,531,1,211010,3385,24163,82444,2164,0,0
3093,2,3,48000,5,5,2,1,2,2,2,2,2,364.88,16,2,5794,812,1,2725676,52173,798850,2725676,52173,0,0
3094,2,3,146000,7,6,2,1,1,2,2,2,2,77.89,16,1,5353,941,1,11593322,205888,3278482,11186181,202443,0,0
3095,4,9,24250,4,4,5,1,2,2,2,2,2,781.6,43,2,4787,1069,1,556408,11446,163074,556408,11446,1,1
3096,3,7,5000,2,5,5,1,1,2,2,2,2,2544.74,34,2,1447,3443,1,169642,4380,40896,139537,4091,1,1
3097,2,4,106000,7,6,18,1,1,1,2,2,2,119.39,17,2,8447,636,1,19222789,172638,1835281,6261979,91868,1,1
3098,3,7,178000,7,6,14,1,1,2,2,2,2,1101.47,33,2,2852,2056,1,18582281,213128,3731196,12730841,174126,1,1
3099,3,6,84000,6,6,7,1,1,1,2,2,2,246.38,29,2,3862,1205,1,15120984,155048,1822526,6218459,94771,0,0
3100,3,5,23750,4,4,14,1,1,2,2,2,2,658.02,26,2,1391,2755,1,1385039,26057,251735,858920,20476,1,1
3101,3,6,360000,8,6,2,1,1,2,2,2,2,70.71,31,1,1928,2679,1,28518989,499986,8221525,28051843,495945,0,0
3102,3,7,355000,8,6,16,1,1,1,2,2,2,11.84,35,1,652,4464,1,52633523,657203,8949492,30535667,524403,0,0
3103,3,7,5000,2,7,12,1,1,2,2,2,2,2314.83,32,2,3166,1830,1,98744,1903,19996,68226,1560,1,1
3104,2,3,220000,8,7,25,1,1,2,2,2,2,5.25,15,2,6278,563,1,32617528,462119,6741322,23001391,397177,0,1
3105,4,9,120000,7,8,2,1,1,2,2,2,2,101.47,40,1,2266,1297,1,6180384,264620,1375307,4692547,252225,0,0
3106,4,8,4000,2,5,2,1,1,2,2,2,2,2739.65,37,2,6314,554,1,317753,4736,42817,146092,3415,0,0
