PUBID8   ,REGION8  ,CENDIV8  ,SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,ADJWT8   ,STRATUM8 ,PAIR8    ,MFHTBTU8 ,MFCLBTU8 ,MFVNBTU8 ,MFWTBTU8 ,MFLTBTU8 ,MFCKBTU8 ,MFRFBTU8 ,MFOFBTU8 ,MFPCBTU8 ,MFMSBTU8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
1794,2,3,114000,7,7,8,1,1,1,2,2,2,45.67,14,2,9447695,983869,952082,390004,6496704,0,569032,114738,520254,3310710
1795,4,8,22000,4,5,23,1,2,2, ,2,2,869.22,38,1,0,0,0,0,815730,0,0,22108,31480,219512
1796,1,2,2500,2,4,25,1,1,2,2,2,2,2739.65,5,1,65355,5831,6587,8670,78027,0,40390,5670,9590,11384
1797,1,2,20000,4,7,2,1,1,2,2,2,2,406.42,4,2,284458,32018,52817,8317,503572,5975,80439,8569,19703,85100
1798,2,3,1800,2,7,5,2,2,2,2,2,2,2504.14,14,1,                  ,                  ,0,                  ,0,                  ,0,0,0,                  
1799,3,7,11000,4,2,91,1,1,2,2,2,2,734.43,33,1,94018,55379,18537,2071,70534,0,0,3385,1467,72699
1800,1,2,330000,8,2,16,1,1,1,2,2,2,11.26,9,2,18524368,4306593,7957494,13280696,10594370,637194,292986,249902,592929,4494465
1801,4,9,6800,3,7,2,1,1,2,2,2,2,971.29,40,2,19373,53973,9789,732,77513,0,58996,17305,21975,42441
1802,4,8,210000,8,7,5,1,1,2,2,2,2,80.53,39,2,3468453,814741,224925,184277,1771734,0,113291,49462,141933,459964
1803,4,9,104000,7,6,1,1,2,2,2,2,2,80.53,55,1,409222,431127,336359,25120,3332482,0,0,1163813,223115,1922531
1806,2,3,26000,5,2,14,1,1,2,2,2,2,317.92,14,1,2663073,1899,102828,29405,75908,4572,16546,6346,22268,13461
1807,1,1,3200,2,1,2,1,1,2,2,2,2,2739.65,2,2,312805,12510,3364,0,40008,0,0,40023,35952,22666
1809,3,5,1000000,9,5,26,1,1,2,2,2,2,145.58,22,2,15590290,31334281,33428480,1107380,74876206,991894,1638260,916601,2253717,15811703
1810,3,7,11750,4,6,5,2,2,2,2,2,2,2226.65,34,1,                  ,                  ,0,                  ,0,                  ,0,0,0,                  
1811,2,3,53000,6,1,2,1,1,2,2,2,2,199.06,11,1,2069337,283609,781105,321132,2231828,50775,168833,150081,616512,869977
1812,3,7,6000,3,6,2,1,1,2,2,2,2,3187.23,33,1,157971,30381,19595,2968,109552,0,0,4261,7520,48731
1813,4,9,1300,2,2,2,1,2,2,2,2,2,2996.93,40,2,4565,10237,1228,113,9015,0,7404,5916,1458,3055
1814,1,2,160000,7,2,2,1,1,2,2,2,2,86.75,4,2,611030,500930,252590,77945,4667687,0,211456,126516,355369,715866
1815,3,7,75000,6,2,5,1,2,2,2,2,2,145.23,32,2,1035,2139,30838,0,32387,0,0,0,0,40496
1816,1,2,9000,3,7,6,1,2,2,1,2,2,2226.17,4,1,209692,12201,27742,0,285526,57145,620019,2301,0,52669
1817,2,4,10750,4,7,26,1,1,2,2,2,2,780.38,17,2,386425,12455,102828,1751,123637,0,20091,7563,3796,100055
1818,1,1,2900,2,6,5,1,2,1,2,2,2,2463.5,1,1,29402,0,949,0,8743,0,0,0,0,8412
1819,3,5,2150,2,5,14,1,1,2,2,2,2,3187.23,25,1,63204,7609,373,19278,2001,0,6112,0,0,2368
1820,2,3,40000,5,2,14,1,1,2,2,2,2,402.35,16,1,1809768,0,791685,242437,513181,0,82803,13905,179611,103637
1821,2,3,30000,5,5,14,1,1,2,2,2,2,214.9,11,1,2502099,16940,120700,109288,205927,26953,67674,9629,13343,36300
1822,3,7,1550,2,7,18,1,2,2,2,2,2,2413.67,32,1,10894,6096,0,13934,59934,0,1877,0,0,2779
1823,2,4,50001,6,8,8,1,2,1,2,1,2,255.11,17,2,7709500,114114,358671,88200,1275208,0,44025,17271,61961,548848
1824,3,6,3350,2,7,5,2,2,2,2,2,2,3187.23,30,2,                  ,                  ,0,                  ,0,                  ,0,0,0,                  
1825,2,4,15000,4,5,25,1,1,2,2,2,2,864.37,17,2,683141,7258,33591,2848,278077,0,18164,3734,10015,61439
1827,1,2,5000,2,5,2,1,1,1,2,2,2,2463.5,4,1,260456,2245,4933,136,26450,0,9276,4,462,14720
1828,3,7,7200,3,3,23,1,1,1, ,2,2,2546.83,32,1,220540,43067,15639,44330,146108,0,23797,3960,5639,43373
1829,2,4,26000,5,3,12,1,1,2,2,2,2,787.04,19,2,593502,9186,5856,7557,24384,0,4120,161,285,16542
1830,2,3,10000,3,4,91,1,2,1,2,2,2,469.34,16,1,232200,60935,19568,770,331757,0,0,104067,30408,200701
1831,3,7,4000,2,6,26,1,1,2,2,2,2,2546.83,32,1,248471,3115,7530,313,102235,0,7913,15,1490,14663
1832,1,1,13750,4,1,14,1,2,1,1,2,2,869.22,3,1,905276,9398,43932,86912,72636,0,7002,2673,2874,6025
1833,3,7,9600,3,7,6,1,1,2,2,2,2,2544.74,34,2,148949,107675,31097,41786,304950,0,170291,3349,22628,56577
1834,3,6,98000,6,7,23,1,1,2, ,2,2,206.11,29,2,1676200,1025937,898853,1065636,3110238,114532,506583,84295,120029,933576
1835,1,2,40000,5,1,12,1,1,1,2,2,2,81.62,61,2,3321702,53956,71447,128692,74703,0,0,0,0,104280
1836,3,7,3000,2,6,13,1,2,2,2,2,2,2544.74,49,1,0,15714,2176,6,1993,0,0,0,40,8933
1838,3,5,7200,3,7,2,1,2,2,2,2,2,807.37,27,1,0,53653,2580,0,18443,0,16988,8345,12019,9705
1839,3,5,124000,7,5,2,1,2,2,2,2,2,48.28,24,2,1877688,0,1806830,410458,6735712,0,1297455,434434,2125711,1891182
1840,1,2,28000,5,6,26,1,1,2,2,2,2,221.72,10,1,782276,84079,110993,176,271125,0,0,1181,819,107999
1841,1,2,3550,2,3,26,1,2,1,2,2,2,2463.5,7,1,124821,707,2385,0,11538,0,3429,3,0,5639
1843,2,3,172000,7,3,14,1,1,1,2,2,2,121.46,11,1,10960901,54805,915255,726085,752782,107073,82829,7634,62519,77526
1844,2,3,95000,6,5,23,1,1,2, ,2,2,80.08,13,2,3386273,524866,837658,757258,2865175,1199707,466668,77654,110572,820444
1845,3,6,130000,7,7,2,1,1,2,2,2,2,144.22,29,2,6035157,1775020,679295,235695,9805520,0,541593,197732,344140,1489732
1846,4,9,2250,2,6,26,1,1,2,2,2,2,2996.93,40,1,26472,5251,3161,643,9074,0,19119,3728,7182,9964
1847,4,9,485000,8,6,2,1,1,1,2,2,2,51.21,42,2,11018322,1330449,2703224,1727415,16436818,0,0,204465,1751264,3400526
1848,3,6,5100,3,5,6,1,2,2,2,2,2,2546.83,29,2,12897,13935,1995,1080,96690,13785,191956,2583,2001,12705
1850,3,7,1550,2,7,14,1,2,2,2,2,2,1702.02,34,1,6022,53509,6311,0,13215,0,0,0,1789,3505
1851,3,5,11250,4,5,13,1,1,2,2,2,2,223.94,24,1,97151,0,160328,13448,107278,0,99775,131,15532,130003
