PUBID7   ,REGION7  ,CENDIV7  ,SQFT7    ,SQFTC7   ,YRCONC7  ,PBA7     ,ELUSED7  ,NGUSED7  ,FKUSED7  ,PRUSED7  ,STUSED7  ,HWUSED7  ,CLIMATE7 ,NFLOOR7  ,YRCON7   ,MONCON7  ,GOVOWN7  ,GOVTYP7  ,NOCC7    ,NOCCAT7  ,OWNOCC7  ,OWNREP7  ,MONUSE7  ,PORVAC7  ,OPEN247  ,OPNMF7   ,OPNWE7   ,WKHRS7   ,WKHRSC7  ,NWKER7   ,NWKERC7  ,HT17     ,HT27     ,COOL7    ,WATR7    ,COOK7    ,MANU7    ,GENR7    ,HEATP7   ,HTLS507  ,COOLP7   ,LTOHRP7  ,ADJWT7   ,PAIR7    ,STRATUM7
2484,1,2,20000,4,4,2,1,1,2,2,2,2,3,3,1965,  ,2, ,7,4,2,2,12,2,2,1,2,60,4,45,5,1,2,1,1,2,2,2,75, ,25,100,168.94,2,6
2485,2,3,12500,4,3,7,1,1,2,2,2,2,2,3,1954,  ,1,3,1,2,2,1,12,2,1, , ,168,7,8,3,1,2,1,1,2,2,2,100, ,50,75,648.98,1,12
2486,1,1,95000,6,4,26,1,2,1,2,2,2,1,1,1960,  ,2, ,2,3,2,2,12,2,1, , ,168,7,75,6,1,2,2,2,2,2,2,60, ,   ,60,149.19,1,15
2487,1,1,140000,7,8,11,1,1,2,2,2,2,1,2,1998,  ,2, ,1,2,1, ,12,2,2,1,1,130,6,68,6,1,2,1,1,2,2,2,100, ,11,100,8.37,1,25
2488,3,5,50000,5,5,12,1,1,2,2,2,2,5,2,1972,  ,2, ,1,2,1, ,12,2,2,1,1,71,5,5,3,1,2,1,1,1,2,2,100, ,100,25,817.63,2,40
2489,3,5,25000,4,4,12,1,2,2,1,2,2,5,2,1964,  ,2, ,1,2,1, ,12,2,2,1,1,70,5,4,2,1,2,1,1,1,2,2,100, ,100,50,152.18,1,38
2490,2,3,170000,7,2,5,1,2,2,2,2,2,2,1,1942,  ,2, ,2,3,1, ,12,2,2,2,2,20,2,2,2,2,2,2,2,2,2,2,   , ,   ,100,490.14,2,7
2491,1,2,12500,4,8,2,1,2,2,2,2,2,3,2,1997,  ,2, ,4,3,1, ,12,2,2,1,2,60,4,12,4,1,2,1,1,2,2,2,50, ,50,50,176.22,2,18
2492,4,9,40000,5,6,2,1,2,2,2,2,2,3,4,1982,  ,2, ,3,3,2,1,12,2,2,1,2,55,4,125,7,1,2,1,1,2,2,2,100, ,100,100,197.24,1,29
2493,2,3,6000,3,5,8,1,1,2,2,2,2,2,3,1978,  ,2, ,1,2,1, ,12,2,2,1,1,66,5,6,3,1,2,1,1,2,2,2,100, ,100,100,6765.32,2,7
2494,1,1,130000,7,4,14,1,2,1,1,2,2,1,1,1961,  ,2, ,1,2,2,1,12,2,2,1,1,90,6,125,7,1,2,1,1,1,2,2,100, ,4,100,411.67,2,25
2495,3,5,47500,5,6,6,1,2,2,1,2,2,3,1,1982,  ,2, ,1,2,1, ,12,2,2,1,1,103,6,115,7,1,1,1,1,1,2,1,100, ,90,100,242.46,1,14
2496,4,9,7500,3,1,13,1,1,2,2,2,2,3,2,1914,  ,1,3,1,2,2,2,11,2,2,1,1,80,5,6,3,1,2,2,1,2,2,2,100, ,   ,100,5338.15,1,29
2497,1,2,25001,5,7,14,1,1,2,2,2,2,3,2,1994,  ,2, ,1,2,2,1,12,2,2,1,1,84,5,25,5,1,1,1,1,2,2,2,100, ,100,100,157.06,1,5
2498,4,8,17500,4,6,5,1,2,2,2,2,2,5,1,1980,  ,2, ,1,2,2,2,12,2,2,1,1,50,4,4,2,1,2,1,1,2,2,2,15, ,100,15,216.49,2,19
2499,4,8,3750,2,5,15,1,1,2,2,2,2,2,1,1973,  ,2, ,1,2,1, ,12,2,2,1,1,112,6,9,3,1,1,2,1,1,2,1,100, ,   ,100,5064.47,1,35
2500,1,1,250000,8,8,2,1,2,2,2,2,2,2,4,1999,2,2, ,6,4,2,2,7,1,2,1,1,72,5,1110,10,1,2,1,1,1,2,2,100, ,100,100,21.41,2,28
2501,3,5,600000,9,6,2,1,1,1,2,2,2,3,6,1980,  ,1,1,1,2,1, ,12,2,1, , ,168,7,340,8,1,2,1,1,1,2,1,95, ,8,100,9.46,1,35
2502,3,7,12500,4,5,25,1,2,2,2,2,2,5,1,1972,  ,2, ,1,2,2,2,12,2,2,1,1,63,5,5,3,1,2,1,2,2,2,2,100, ,100,100,478.12,2,15
2503,4,8,85000,6,7,14,1,1,2,2,2,2,5,1,1994,  ,1,2,1,2,2,1,10,2,2,1,2,44,3,49,5,1,2,1,1,2,2,1,100, ,60,95,182.61,1,30
2504,1,2,250000,8,5,16,1,1,1,2,2,2,3,5,1976,  ,2, ,1,2,1, ,12,2,1, , ,168,7,825,9,1,2,1,1,1,2,1,100, ,97,100,28.73,1,15
2505,2,3,275000,8,6,23,1,1,2,2,2,2,2,1,1984,  ,2, ,12,5,2,2,12,2,2,1,1,100,6,200,7,1,2,1,1,2,2,2,100, ,100,100,102.66,2,13
2506,2,3,250000,8,2,2,1,1,2,2,2,2,3,2,1945,  ,1,3,1,2,1, ,12,2,9,9,9,112,6,150,7,1,2,2,2,2,2,2,100, ,   ,100,87.17,2,34
2507,1,2,40000,5,4,13,1,1,1,2,1,2,3,8,1964,  ,2, ,1,2,1, ,12,2,2,1,2,35,2,22,5,1,2,1,1,2,2,1,100, ,90,25,188.94,1,2
2508,3,7,40000,5,8,17,1,1,2,2,2,2,4,1,1999,3,2, ,1,2,1, ,4,1,1, , ,168,7,27,5,1,2,1,1,1,2,1,100, ,100,100,417.62,1,15
2509,3,5,2000,2,4,1,2,2,2,2,2,2,5,1,1964,  ,2, ,0,1, , ,0,1, , , ,0,1,0,1,2,2,2,2,2,2,2,   , ,   ,   ,7197.04,1,38
