PUBID7   ,REGION7  ,CENDIV7  ,SQFT7    ,SQFTC7   ,YRCONC7  ,PBA7     ,ELUSED7  ,NGUSED7  ,FKUSED7  ,PRUSED7  ,STUSED7  ,HWUSED7  ,FKTYPFO7 ,FKTYPDS7 ,FKTYPKR7 ,ABLEGEN7 ,ELHT17   ,NGHT17   ,FKHT17   ,PRHT17   ,STHT17   ,HWHT17   ,ELHT27   ,NGHT27   ,FKHT27   ,PRHT27   ,STHT27   ,HWHT27   ,ELCOOL7  ,NGCOOL7  ,FKCOOL7  ,PRCOOL7  ,STCOOL7  ,HWCOOL7  ,ELWATR7  ,NGWATR7  ,FKWATR7  ,PRWATR7  ,STWATR7  ,HWWATR7  ,ELCOOK7  ,NGCOOK7  ,FKCOOK7  ,PRCOOK7  ,STCOOK7  ,HWCOOK7  ,ELMANU7  ,NGMANU7  ,FKMANU7  ,PRMANU7  ,STMANU7  ,HWMANU7  ,NGGENR7  ,FKGENR7  ,PRGENR7  ,GENUSE7  ,NGOTH7   ,FKOTH7   ,PROTH7   ,STOTH7   ,HWOTH7   ,ELLOCUT7 ,ELNONLU7 ,ELOTSRC7 ,ELLUPCT7 ,NGLOCUT7 ,NGOTSRC7 ,ADJWT7   ,PAIR7    ,STRATUM7
03829,3,7, 130000.00,07,07,25,1,2,2,2,2,2, , , ,1,1, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,1, , , , , ,2, , , , , , , , , , , , , , ,9,9,9,   , , ,  123.65,1,03
03830,2,4, 150000.00,07,05,23,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,1,2, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  156.70,1,10
03831,3,7,   2500.00,02,04,25,1,1,2,2,2,2, , , ,2,1,2, , , , ,2,1, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  482.42,1,04
03832,3,6, 130000.00,07,07,02,1,2,1,2,2,2,2,1,2,1,1, ,2, , , ,2, ,2, , , ,1, ,2, , , ,1, ,2, , , ,2, ,2, , , ,2, ,2, , , , ,2, , , ,1, , , ,1,2,2,   , , ,   31.22,1,02
03833,3,7, 250000.00,08,08,02,1,2,2,2,2,2, , , ,1,1, , , , , ,2, , , , , ,1, , , , , ,1, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,   27.77,2,21
03834,2,3,  25000.00,04,07,07,1,1,1,2,2,2,1,2,2,1,2,1,2, , , ,2,2,1, , , ,1,2,2, , , ,2,1,2, , , ,2,2,2, , , ,2,2,2, , , ,2,2, , , , , , , ,1,2,2,   ,1,2,  170.79,2,34
03835,3,5,   3000.00,02,06,02,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  589.41,1,19
03836,3,5,  10001.00,04,04,12,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,1,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  464.40,2,24
03837,3,7,   2500.00,02,05,25,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2, 3543.13,2,15
03838,3,7, 600000.00,09,05,02,1,1,1,2,1,2,2,1,2,1,2,2,2, ,1, ,2,1,2, ,2, ,1,2,2, ,2, ,2,2,2, ,1, ,2,2,2, ,2, ,2,2,2, ,2, ,2,1, ,1, , , , , ,1,2,2,   ,1,2,   11.53,1,03
03839,3,5,  45000.00,05,04,02,1,2,1,2,2,2,7,7,7,1,1, ,2, , , ,2, ,2, , , ,1, ,2, , , ,1, ,2, , , ,2, ,2, , , ,2, ,2, , , , ,1, ,1, , , , , ,1,2,2,   , , ,  142.25,1,38
03840,2,3,   6000.00,03,01,13,1,1,2,2,2,2, , , ,1,2,1, , , , ,2,2, , , , ,1,1, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,1, , ,1, , , , , ,1,2,2,   ,1,2,  419.43,2,02
03841,2,4,  10001.00,04,05,05,1,2,2,2,2,2, , , ,2,1, , , , , ,2, , , , , ,1, , , , , ,2, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  493.51,2,41
03842,3,6,  65000.00,06,05,05,1,1,2,2,2,2, , , ,2,2,1, , , , ,1,2, , , , ,1,2, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  251.01,1,06
03843,3,5,   2000.00,02,02,13,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2, 5670.63,2,08
03844,2,3,   6500.00,03,01,25,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,2,2, , , , ,2,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2,  482.42,1,28
03845,1,2, 750000.00,09,02,14,1,2,1,2,1,2,1,1,2,1,2, ,2, ,1, ,2, ,2, ,2, ,1, ,2, ,1, ,2, ,2, ,1, ,2, ,2, ,2, ,2, ,2, ,2, , ,1, ,1, ,1, , , ,1,2,2,   , , ,   17.09,2,12
03846,2,3, 110000.00,07,07,25,1,1,2,2,2,2, , , ,1,1,2, , , , ,2,1, , , , ,1,2, , , , ,2,2, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,9,9,9,   ,1,2,  157.43,2,13
03847,2,4,  12500.00,04,05,05,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,   , , ,  236.74,2,24
03848,4,9,   7000.00,03,06,26,1,2,2,2,2,2, , , ,2,1, , , , , ,2, , , , , ,2, , , , , ,1, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  443.28,1,41
03849,3,7,  15000.00,04,06,13,1,2,2,2,2,2, , , ,2,1, , , , , ,2, , , , , ,1, , , , , ,2, , , , , ,2, , , , , ,2, , , , , , , , , , , , , , ,1,2,2,   , , ,  439.77,2,15
03850,3,7,   1250.00,02,05,02,1,1,2,2,2,2, , , ,2,2,1, , , , ,2,2, , , , ,1,2, , , , ,2,1, , , , ,2,2, , , , ,2,2, , , , ,2, , , , , , , , ,1,2,2,   ,1,2, 2916.24,1,03
