PUBID7   ,REGION7  ,CENDIV7  ,SQFT7    ,SQFTC7   ,YRCONC7  ,PBA7     ,ELUSED7  ,NGUSED7  ,FKUSED7  ,PRUSED7  ,STUSED7  ,HWUSED7  ,ADJWT7   ,PAIR7    ,STRATUM7 ,HDD657   ,CDD657   ,MFUSED7  ,MFBTU7   ,MFEXP7   ,ELCNS7   ,ELBTU7   ,ELEXP7   ,zelcns7  ,zelexp7
03239,1,2, 500000.00,08,04,02,1,1,1,2,1,2,   11.53,1,35,  4558,  1123,1,          84824344,   1964846,       11261304,          38423569,   1345788,0,0
03240,3,6,   8000.00,03,04,11,1,2,2,2,2,2,  436.79,2,02,  1390,  2619,1,            360372,      7220,         105619,            360372,      7220,3,0
03241,2,3,  30000.00,05,01,01,1,2,2,2,2,2,  664.52,2,33,  6691,   672,1,              8765,       301,           2569,              8765,       301,3,0
03242,3,5, 160000.00,07,03,02,1,1,2,2,2,2,  124.80,1,26,  4041,  1396,1,          13174852,    314612,        2677556,           9135821,    279272,0,0
03243,4,9, 375000.00,08,04,16,1,1,1,2,2,2,   15.22,2,21,  2906,   190,1,         100971753,   1569319,       13200000,          45038400,   1340000,0,0
03244,4,9, 275000.00,08,04,02,1,2,2,2,1,2,   87.17,2,40,  5019,    54,1,          20332883,    200201,        1405886,           4796883,     53707,0,0
03245,2,3,  27500.00,05,02,25,1,2,2,2,2,2,  529.74,1,07,  5284,  1023,1,             84369,      2030,          24727,             84369,      2030,0,0
03246,1,2,  47500.00,05,01,12,1,1,2,2,2,2,  254.42,2,27,  7084,   385,1,           2302878,     18325,          39470,            134672,      5306,0,0
03247,4,9,  60000.00,06,07,14,1,1,2,2,2,2,  118.21,1,29,  4716,   201,1,           2714641,     31060,         421593,           1438475,     23470,0,0
03248,4,9,  90000.00,06,05,23,1,1,2,2,2,2,  253.69,1,20,  1914,   751,1,           4032372,    102165,         966913,           3299107,     97692,3,3
03249,4,9,  10000.00,03,07,91,1,1,2,2,2,2,11437.42,1,11,  3028,  1168,1,           1048515,     26045,         209167,            713678,     23470,3,3
03250,1,2, 300000.00,08,07,18,1,1,1,2,1,2,   33.58,1,17,  4985,  1044,1,          38700054,    608813,        5193863,          17721461,    378859,3,0
03251,1,1,   4000.00,02,04,26,1,1,2,2,2,2,  531.02,2,16,  5972,   692,1,           1998406,     22124,          71169,            242829,      8724,3,0
03252,1,2,  60000.00,06,08,18,1,1,2,2,2,2,  114.17,2,37,  6226,   669,1,           6830324,     58131,         367366,           1253453,     39584,0,3
03253,2,3,  12500.00,04,06,25,1,1,2,2,2,2,  197.26,2,13,  5961,   889,1,           1173975,     22789,         255769,            872684,     21059,0,0
03254,2,3, 170000.00,07,02,02,1,1,2,2,2,2,  108.80,1,39,  5961,   889,1,           5473258,     41561,         263193,            898015,     21933,3,3
